Year,Program Level,Course,Course URL,University,Country,Duration,Open Semesters,Closed Semesters,Yearly Tuition Fee,Application Fee,Page Number
2026,High School (11th - 12th),Grade 10th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwNTYw&year=2026,University of Winnipeg,Canada,12 Month(s),"May, Sep",Not found,"CAD 17,400",CAD 250,1
2026,High School (11th - 12th),Grade 10th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjAwOTc0&year=2026,Luther College High School,Canada,12 Month(s),Sep,Not found,"CAD 42,910",CAD 100,1
2026,High School (11th - 12th),Grade 11th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwNTYx&year=2026,University of Winnipeg,Canada,12 Month(s),"May, Sep",Not found,"CAD 17,400",CAD 250,1
2026,High School (11th - 12th),Grade 11th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjAwOTc1&year=2026,Luther College High School,Canada,12 Month(s),Sep,Not found,"CAD 42,910",CAD 100,1
2026,High School (11th - 12th),Grade 12th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwNTYy&year=2026,University of Winnipeg,Canada,12 Month(s),"May, Sep",Not found,"CAD 17,400",CAD 250,1
2026,High School (11th - 12th),Grade 12th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjAwOTc2&year=2026,Luther College High School,Canada,12 Month(s),Sep,Not found,"CAD 42,910",CAD 100,1
2026,High School (11th - 12th),Grade 9th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MTcwNTU5&year=2026,University of Winnipeg,Canada,12 Month(s),"May, Sep",Not found,"CAD 17,400",CAD 250,1
2026,High School (11th - 12th),Grade 9th,https://www.coursefinder.ai/SearchProgram/CourseDetail?uid=MjAwOTcz&year=2026,Luther College High School,Canada,12 Month(s),Sep,Not found,"CAD 42,910",CAD 100,1
